Market-Date,JBLU-Open-(USD),JBLU-Close-(USD),JBLU-Day-Price-Increase-(%),JBLU-Went-Up?,UAL-Open-(USD),UAL-Close-(USD),UAL-Day-Price-Increase-(%),UAL-Went-Up?,AAL-Open-(USD),AAL-Close-(USD),AAL-Day-Price-Increase-(%),AAL-Went-Up?,Average-Airline-Increase-(%),Average-Airline-Increase-Went-Up?,XOM-Open-(USD),XOM-Close-(USD),XOM-Day-Price-Increase-(%),XOM-Went-Up?,before-or-during-Covid,new-world-cases,new-world-cases-increase-(%),total-world-cases,total-world-cases-increase-(%),new-usa-cases,new-usa-cases-increase-(%),total-usa-cases,total-usa-cases-increase-(%),new-world-vaccinated,new-world-vaccinated-increase-(%),total-world-vaccinated,total-world-vaccinated-increase-(%),new-usa-vaccinated,new-usa-vaccinated-increase-(%),total-usa-vaccinated,total-usa-vaccinated-increase-(%)
9/18/2018,19.56,19.74,0.9202453988,TRUE,89.34,90.11,0.8618759794,TRUE,40.360001,40.790001,1.065411272,TRUE,0.9491775501,TRUE,83.9,83.63,-0.3218116806,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/2018,19.73,19.89,0.8109477952,TRUE,90.02,89.35,-0.7442790491,FALSE,40.790001,41.599998,1.985773425,TRUE,0.6841473904,TRUE,83.64,84.63,1.183644189,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/20/2018,19.98,19.91,-0.3503503504,FALSE,89.84,89.12,-0.8014247551,FALSE,41.82,41.889999,0.1673816356,TRUE,-0.3281311566,FALSE,84.86,84.82,-0.04713646005,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/21/2018,19.9,19.89,-0.05025125628,FALSE,89.57,89.94,0.4130847382,TRUE,42.040001,43.599998,3.710744441,TRUE,1.357859308,TRUE,85.01,85.17,0.1882131514,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/24/2018,19.93,19.49,-2.207727045,FALSE,89.83,87.84,-2.215295558,FALSE,43.27,41.98,-2.981280333,FALSE,-2.468100979,FALSE,85.79,86.6,0.9441659867,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/25/2018,19.48,19.3,-0.9240246407,FALSE,87.83,87.92,0.102470682,TRUE,42,40.810001,-2.833330952,FALSE,-1.21829497,FALSE,87.03,86.5,-0.6089854073,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/26/2018,19.38,19.17,-1.083591331,FALSE,88.85,88.97,0.1350590884,TRUE,40.84,41.040001,0.4897184133,TRUE,-0.1529379431,FALSE,86.02,85.78,-0.2790048826,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/27/2018,19.25,19.38,0.6753246753,TRUE,88.93,88.34,-0.6634431575,FALSE,41.23,41.5,0.6548629639,TRUE,0.2222481606,TRUE,86.09,85.77,-0.3717040307,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2018,19.37,19.36,-0.05162622612,FALSE,88.33,89.06,0.826446281,TRUE,41.369999,41.330002,-0.09668117227,FALSE,0.2260462942,TRUE,85.25,85.02,-0.2697947214,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/2018,19.41,18.99,-2.163833076,FALSE,89.29,87.61,-1.881509688,FALSE,41.41,39.610001,-4.346773726,FALSE,-2.797372163,FALSE,85.35,85.81,0.5389572349,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2/2018,18.97,18.93,-0.2108592514,FALSE,87.24,86.71,-0.6075194865,FALSE,39.599998,38.5,-2.777772868,FALSE,-1.198717202,FALSE,85.8,86.46,0.7692307692,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/3/2018,18.89,18.53,-1.905770249,FALSE,87.02,87.39,0.4251896116,TRUE,38.700001,38.799999,0.2583927582,TRUE,-0.4073959597,FALSE,86.51,86.15,-0.4161368628,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/4/2018,18.54,18.48,-0.3236245955,FALSE,87.03,86.04,-1.13753878,FALSE,38.799999,37.919998,-2.268043873,FALSE,-1.243069083,FALSE,85.5,85.58,0.09356725146,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/5/2018,18.48,18.1,-2.056277056,FALSE,86.12,84.14,-2.29911751,FALSE,37.93,36.439999,-3.92829159,FALSE,-2.761228719,FALSE,85.31,85.34,0.03516586567,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/8/2018,18.04,17.98,-0.332594235,FALSE,84,83.68,-0.380952381,FALSE,36.439999,35.900002,-1.481879843,FALSE,-0.7318088197,FALSE,84.79,86.13,1.580375044,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/9/2018,17.96,17.38,-3.229398664,FALSE,83.71,81.43,-2.723688926,FALSE,36.299999,33.549999,-7.575757784,FALSE,-4.509615125,FALSE,86.38,86.51,0.1504978004,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/2018,17.31,16.63,-3.928365107,FALSE,82.8,78.93,-4.673913043,FALSE,33.330002,31.610001,-5.160518742,FALSE,-4.587598964,FALSE,86.73,84.52,-2.548137899,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2018,17.02,16.21,-4.759106933,FALSE,81.09,80.12,-1.196201751,FALSE,32.299999,31.27,-3.188851492,FALSE,-3.048053392,FALSE,83.94,81.6,-2.787705504,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/12/2018,16.55,16.36,-1.148036254,FALSE,81.31,80.18,-1.389742959,FALSE,31.969999,30.91,-3.315605359,FALSE,-1.951128191,FALSE,82.13,81.38,-0.9131864118,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2018,16.33,16.48,0.9185548071,TRUE,80.4,81.34,1.169154229,TRUE,31,31.780001,2.516132258,TRUE,1.534613765,TRUE,81.38,80.82,-0.6881297616,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/16/2018,16.55,16.86,1.873111782,TRUE,81.6,83.52,2.352941176,TRUE,32.060001,33.279999,3.805358584,TRUE,2.677137181,TRUE,80.51,81.2,0.857036393,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/17/2018,17.18,16.87,-1.804423749,FALSE,88.02,88.49,0.5339695524,TRUE,34.450001,33.57,-2.554429534,FALSE,-1.274961244,FALSE,80.94,81.5,0.6918705214,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/18/2018,16.89,16.34,-3.256364713,FALSE,89,87.09,-2.146067416,FALSE,33.580002,32.060001,-4.52650658,FALSE,-3.309646236,FALSE,81.2,81.85,0.8004926108,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/19/2018,16.34,16.52,1.101591187,TRUE,87.26,87.43,0.1948200779,TRUE,32.09,32.040001,-0.1558086631,FALSE,0.3802008673,TRUE,81.66,81.97,0.3796228264,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2018,16.61,16.57,-0.2408187839,FALSE,87.84,88.61,0.8765938069,TRUE,32.27,32.16,-0.3408738767,FALSE,0.0983003821,TRUE,82,81.15,-1.036585366,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/23/2018,16.01,16.63,3.872579638,TRUE,87.02,86.33,-0.7929211675,FALSE,31.530001,32.380001,2.695845141,TRUE,1.925167871,TRUE,80.06,79.84,-0.2747939046,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/24/2018,16.56,15.82,-4.468599034,FALSE,86.07,82.19,-4.507958638,FALSE,32.48,30.34,-6.588669951,FALSE,-5.188409208,FALSE,80.13,77.62,-3.132409834,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/25/2018,15.93,16.45,3.26428123,TRUE,82.69,85.6,3.519167977,TRUE,31.190001,32.369999,3.783257333,TRUE,3.522235513,TRUE,78.49,78.31,-0.2293285769,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/26/2018,16.24,16.28,0.2463054187,TRUE,84.1,84.63,0.6302021403,TRUE,31.4,32.459999,3.375792994,TRUE,1.417433518,TRUE,77.87,77.53,-0.4366251445,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/29/2018,16.44,16.16,-1.703163017,FALSE,85.98,84.99,-1.151430565,FALSE,33.139999,32.599998,-1.629453881,FALSE,-1.494682488,FALSE,78.07,77.05,-1.30651979,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/30/2018,16.36,17.08,4.400977995,TRUE,84.38,85.85,1.742118986,TRUE,32.439999,34.66,6.843406499,TRUE,4.328834493,TRUE,77.62,78.78,1.494460191,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31/2018,17.2,16.73,-2.73255814,FALSE,87.25,85.51,-1.994269341,FALSE,35.16,35.080002,-0.2275255973,FALSE,-1.651451026,FALSE,79.34,79.68,0.4285354172,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/1/2018,16.75,17.23,2.865671642,TRUE,85.62,88.04,2.82644242,TRUE,35.299999,36.369999,3.031161559,TRUE,2.90775854,TRUE,79.83,80.67,1.052236002,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2018,17.33,17.66,1.904212349,TRUE,88.47,88.68,0.2373685995,TRUE,36.59,36.330002,-0.7105711943,FALSE,0.4770032514,TRUE,81.76,81.95,0.2323874755,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/5/2018,17.58,17.86,1.592718999,TRUE,88.98,89.47,0.5506855473,TRUE,36.349998,35.720001,-1.733141773,FALSE,0.1367542578,TRUE,82.5,81.64,-1.042424242,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/6/2018,17.9,17.86,-0.2234636872,FALSE,90,89.64,-0.4,FALSE,35.599998,35.169998,-1.207865236,FALSE,-0.6104429744,FALSE,81.74,81.99,0.3058478101,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/7/2018,17.89,18.2,1.732811627,TRUE,90.22,92.16,2.150299268,TRUE,35.57,36.970001,3.935903852,TRUE,2.606338249,TRUE,82.21,83.03,0.9974455662,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/8/2018,18.1,18.23,0.7182320442,TRUE,92.09,92.56,0.5103702899,TRUE,36.77,36.860001,0.2447674735,TRUE,0.4911232692,TRUE,83.13,81.71,-1.70816793,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/9/2018,18.12,18.1,-0.1103752759,FALSE,92.41,92.35,-0.06492803809,FALSE,36.700001,36.220001,-1.307901872,FALSE,-0.4944017287,FALSE,80.26,80.87,0.7600299028,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/12/2018,18.31,17.99,-1.747678864,FALSE,92.36,91.2,-1.255954959,FALSE,36.310001,36.860001,1.514734191,TRUE,-0.4962998773,FALSE,81.66,79.83,-2.240999265,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/13/2018,18.13,18.21,0.4412575841,TRUE,91.63,92.6,1.05860526,TRUE,37.150002,37.779999,1.695819559,TRUE,1.065227468,TRUE,79.8,78,-2.255639098,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/14/2018,18.38,18.17,-1.142546246,FALSE,93.03,91.79,-1.332903365,FALSE,38,38.110001,0.2894763158,TRUE,-0.7286577651,FALSE,78.86,77.39,-1.864062896,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/15/2018,18.1,18.17,0.3867403315,TRUE,91.4,91.98,0.6345733042,TRUE,37.869999,37.82,-0.132027994,FALSE,0.2964285472,TRUE,76.67,78.19,1.982522499,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/16/2018,18.01,18.03,0.111049417,TRUE,91.84,92.26,0.4573170732,TRUE,37.400002,36.75,-1.737973169,FALSE,-0.3898688929,FALSE,78.37,78.96,0.7528390966,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/19/2018,17.92,17.73,-1.060267857,FALSE,92.32,92.09,-0.2491334489,FALSE,36.759998,35.82,-2.557122011,FALSE,-1.288841106,FALSE,78.46,79.22,0.968646444,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/20/2018,17.48,17.6,0.6864988558,TRUE,91.2,91.77,0.625,TRUE,35.049999,35.59,1.540659102,TRUE,0.9507193193,TRUE,78.42,76.97,-1.849018108,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/21/2018,17.68,18.05,2.092760181,TRUE,91.92,92.86,1.022628372,TRUE,36.09,36.310001,0.6095899141,TRUE,1.241659489,TRUE,77.43,77.56,0.1678935813,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/23/2018,18.16,18.35,1.046255507,TRUE,93.27,94.84,1.683285086,TRUE,36.66,37.950001,3.518824332,TRUE,2.082788308,TRUE,76.05,75.49,-0.7363576594,FALSE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/26/2018,18.5,18.5,0,FALSE,95.56,91.75,-3.987023859,FALSE,38.299999,38.099998,-0.5221958361,FALSE,-1.503073232,FALSE,76.24,76.98,0.9706190976,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/27/2018,18.61,18.7,0.4836109618,TRUE,92.37,93.38,1.093428602,TRUE,38.209999,38.290001,0.2093745148,TRUE,0.5954713595,TRUE,76.57,77.05,0.6268773671,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/28/2018,18.76,19.03,1.439232409,TRUE,94.11,94.48,0.393156944,TRUE,38.59,38.939999,0.9069681265,TRUE,0.9131191598,TRUE,77.04,78.45,1.830218069,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/29/2018,18.9,19.03,0.6878306878,TRUE,94.04,95.07,1.095278605,TRUE,38.799999,38.419998,-0.9793840459,FALSE,0.2679084156,TRUE,78.22,79.06,1.073894145,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/30/2018,19.1,19.52,2.19895288,TRUE,94.9,96.7,1.896733404,TRUE,38.419998,40.16,4.528896644,TRUE,2.874860976,TRUE,78.45,79.5,1.338432122,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2018,19.52,19.24,-1.43442623,FALSE,97.67,96.46,-1.238865568,FALSE,40.57,39.650002,-2.267680552,FALSE,-1.646990783,FALSE,80.24,81.22,1.221335992,TRUE,before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
